date,symbol,price,volume,change,change_percent
2024-01-15,S&P 500,4847.88,2500000,12.45,0.26
2024-01-15,DOW,37753.31,1800000,-45.22,-0.12
2024-01-15,NASDAQ,15181.92,3200000,89.76,0.59
2024-01-15,RUSSELL,2089.44,1200000,5.33,0.26
2024-01-15,VIX,13.22,800000,-0.87,-6.17
2024-01-14,S&P 500,4835.43,2400000,-8.32,-0.17
2024-01-14,DOW,37798.53,1750000,23.45,0.06
2024-01-14,NASDAQ,15092.16,3100000,-45.23,-0.30
2024-01-14,RUSSELL,2084.11,1150000,-2.15,-0.10
2024-01-14,VIX,14.09,850000,0.45,3.30
2024-01-13,S&P 500,4843.75,2600000,15.67,0.32
2024-01-13,DOW,37775.08,1900000,-12.88,-0.03
2024-01-13,NASDAQ,15137.39,3300000,67.89,0.45
2024-01-13,RUSSELL,2086.26,1300000,8.92,0.43
2024-01-13,VIX,13.64,780000,-0.23,-1.66
2024-01-12,S&P 500,4828.08,2300000,-22.15,-0.46
2024-01-12,DOW,37787.96,1650000,34.56,0.09
2024-01-12,NASDAQ,15069.50,2900000,-78.45,-0.52
2024-01-12,RUSSELL,2077.34,1100000,-5.67,-0.27
2024-01-12,VIX,13.87,820000,0.67,5.08
2024-01-11,S&P 500,4850.23,2700000,28.91,0.60
2024-01-11,DOW,37753.40,2000000,-18.73,-0.05
2024-01-11,NASDAQ,15147.95,3500000,112.34,0.75
2024-01-11,RUSSELL,2083.01,1400000,12.45,0.60
2024-01-11,VIX,13.20,750000,-1.23,-8.52
